Date/Time CET/CEST;Date/Time UTC;MBA;Production Total [MWh];Hydro [MWh];Nuclear [MWh];Solar [MWh];Thermal [MWh];Wind Onshore [MWh];Wind Offshore [MWh];Energy Storage [MWh];Other [MWh]
07.01.2024/06:00;07.01.2024/05:00;SE1, SE2, SE3, SE4;20133,436038;10740,085883;6316,82;1,192579;1118,385276;1953,170679;0;0;3,781621
07.01.2024/07:00;07.01.2024/06:00;SE1, SE2, SE3, SE4;20274,466777;10903,76465;6314,82;1,408003;1127,676968;1922,333031;0;0;4,464125
07.01.2024/08:00;07.01.2024/07:00;SE1, SE2, SE3, SE4;21083,263754;11542,819461;6314,88;1,481916;1176,128739;2043,006786;0;0;4,946852
07.01.2024/09:00;07.01.2024/08:00;SE1, SE2, SE3, SE4;21446,829601;11717,685111;6315,74;4,362844;1163,852759;2236,169281;0;0;9,019606
07.01.2024/10:00;07.01.2024/09:00;SE1, SE2, SE3, SE4;22013,483321;11905,455886;6315,18;15,815748;1164,189609;2599,342744;0;0;13,499334
07.01.2024/11:00;07.01.2024/10:00;SE1, SE2, SE3, SE4;22501,339997;11798,665708;6314,34;32,506042;1167,134778;3175,612768;0;0;13,080701
07.01.2024/12:00;07.01.2024/11:00;SE1, SE2, SE3, SE4;22601,440261;11252,109098;6315,41;40,071988;1181,62409;3799,097024;0;0;13,128061
07.01.2024/13:00;07.01.2024/12:00;SE1, SE2, SE3, SE4;22498,132591;10889,017;6317,38;27,699819;1184,777626;4067,908824;0;0;11,349322
07.01.2024/14:00;07.01.2024/13:00;SE1, SE2, SE3, SE4;22866,472967;10759,048874;6316,74;10,786766;1162,369279;4607,366069;0;0;10,161979
07.01.2024/15:00;07.01.2024/14:00;SE1, SE2, SE3, SE4;23162,059036;10405,253301;6316,67;2,010009;1163,302929;5263,650129;0;0;11,172668
07.01.2024/16:00;07.01.2024/15:00;SE1, SE2, SE3, SE4;23292,346935;10037,916234;6315,68;1,210028;1164,614912;5759,22912;0;0;13,696641
07.01.2024/17:00;07.01.2024/16:00;SE1, SE2, SE3, SE4;23405,400212;9603,883658;6315,32;1,278046;1154,133329;6319,6106;0;0;11,174579
07.01.2024/18:00;07.01.2024/17:00;SE1, SE2, SE3, SE4;23264,97498;9055,322946;6312,73;1,227049;1153,003997;6730,06915;0;0;12,621838
07.01.2024/19:00;07.01.2024/18:00;SE1, SE2, SE3, SE4;22577,784346;8359,770154;6314,67;1,09156;1157,762378;6730,946518;0;0;13,543736
07.01.2024/20:00;07.01.2024/19:00;SE1, SE2, SE3, SE4;22707,968976;8420,515071;6315,37;1,019271;1121,750162;6839,360358;0;0;9,954114
